EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
190550.781,189896.047,210424.156,202921.484,193291.547,184481.563,192446.297,183316.672,0.042,1.000,0.078,-1.801,-0.732,-0.488,80.000,17205.000,1.000
190560.875,189873.875,210400.469,202912.813,193288.500,184445.797,192426.000,183333.313,0.043,1.002,0.077,-1.709,-0.763,-0.275,80.000,17206.000,1.000
190534.141,189837.219,210363.813,202882.859,193263.031,184401.547,192393.547,183307.563,0.044,1.002,0.078,-1.678,-0.885,-0.275,80.000,17207.000,1.000
190513.578,189838.297,210369.891,202881.969,193255.250,184414.859,192401.141,183288.250,0.045,1.000,0.080,-1.617,-0.946,-0.305,80.000,17208.000,1.000
190533.078,189874.328,210407.984,202909.328,193276.609,184458.047,192438.875,183307.656,0.044,1.001,0.079,-1.648,-0.854,-0.305,80.000,17209.000,1.000
190566.422,189901.953,210433.547,202932.750,193299.859,184481.828,192460.516,183336.797,0.046,1.001,0.077,-1.587,-0.885,-0.244,80.000,17210.000,1.000
190578.047,189884.063,210411.109,202920.047,193295.844,184450.719,192436.094,183341.438,0.045,1.002,0.078,-1.526,-0.854,-0.214,80.000,17211.000,1.000
190550.328,189842.859,210373.641,202886.609,193270.625,184418.266,192406.328,183306.938,0.047,0.999,0.077,-1.526,-0.854,-0.183,80.000,17212.000,1.000
190527.625,189846.609,210382.234,202885.281,193264.719,184441.781,192423.859,183287.438,0.046,0.999,0.076,-1.556,-0.793,-0.092,80.000,17213.000,1.000
190538.172,189880.672,210415.047,202905.484,193280.188,184488.984,192458.813,183294.859,0.045,1.000,0.075,-1.678,-0.763,-0.061,80.000,17214.000,1.000
190562.406,189904.281,210432.391,202925.594,193299.063,184523.766,192487.516,183318.016,0.048,1.001,0.074,-1.709,-0.824,-0.092,80.000,17215.000,1.000
190566.063,189879.063,210400.016,202911.734,193285.828,184483.344,192446.469,183315.156,0.047,1.000,0.074,-1.678,-0.763,-0.092,80.000,17216.000,1.000
190533.703,189836.422,210353.703,202870.969,193251.406,184440.703,192399.625,183267.859,0.047,0.999,0.072,-1.617,-0.610,-0.244,80.000,17217.000,1.000
190510.547,189841.063,210358.000,202865.344,193243.000,184464.219,192413.922,183243.359,0.048,1.000,0.075,-1.587,-0.580,-0.153,80.000,17218.000,1.000
190516.984,189869.859,210387.500,202883.219,193249.969,184494.172,192426.172,183241.844,0.047,1.000,0.075,-1.678,-0.641,-0.153,80.000,17219.000,1.000
190547.641,189889.609,210409.047,202908.344,193269.828,184511.875,192447.906,183274.844,0.049,1.000,0.077,-1.648,-0.397,-0.122,80.000,17220.000,1.000
190564.906,189871.469,210389.297,202900.031,193272.063,184486.125,192431.719,183291.828,0.048,1.001,0.077,-1.648,-0.366,-0.122,80.000,17221.000,1.000
190542.469,189834.813,210353.891,202870.344,193249.078,184440.969,192394.969,183266.344,0.047,1.001,0.077,-1.587,-0.458,-0.092,80.000,17222.000,1.000
190525.391,189841.516,210367.563,202872.844,193249.609,184453.125,192404.094,183254.891,0.049,0.999,0.076,-1.709,-0.244,-0.183,80.000,17223.000,1.000
