EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
191684.375,190386.453,208561.906,201474.078,193298.609,184685.672,193405.906,183296.828,0.038,1.001,0.188,-2.502,-0.214,-0.305,80.000,54752.000,1.000
191651.734,190346.922,208518.813,201434.828,193263.563,184632.219,193359.938,183258.469,0.036,1.000,0.188,-2.472,-0.336,-0.366,80.000,54753.000,1.000
191625.719,190339.063,208518.453,201425.172,193250.328,184629.797,193357.984,183223.156,0.036,1.001,0.189,-2.441,-0.336,-0.458,80.000,54754.000,1.000
191633.500,190362.484,208546.531,201455.297,193268.297,184673.156,193389.625,183241.750,0.038,1.001,0.191,-2.380,-0.244,-0.519,80.000,54755.000,1.000
191660.141,190389.125,208565.656,201475.688,193290.828,184701.328,193418.500,183273.672,0.038,1.001,0.190,-2.380,-0.275,-0.458,80.000,54756.000,1.000
191662.828,190370.531,208536.328,201455.828,193280.188,184663.953,193391.063,183279.750,0.036,1.000,0.185,-2.441,-0.305,-0.488,80.000,54757.000,1.000
191631.891,190330.297,208495.563,201419.531,193245.953,184609.953,193337.500,183244.344,0.037,1.000,0.188,-2.350,-0.305,-0.610,80.000,54758.000,1.000
191617.578,190334.328,208509.781,201427.047,193245.063,184632.484,193355.031,183227.000,0.037,1.001,0.186,-2.441,-0.244,-0.519,80.000,54759.000,1.000
191633.313,190360.875,208545.188,201453.781,193264.188,184672.172,193394.281,183240.859,0.036,1.002,0.186,-2.319,-0.153,-0.580,80.000,54760.000,1.000
191661.391,190384.922,208561.813,201465.141,193280.453,184695.063,193408.578,183264.203,0.036,1.003,0.186,-2.380,-0.122,-0.671,80.000,54761.000,1.000
191681.234,190375.625,208549.203,201469.063,193286.188,184669.578,193392.578,183291.375,0.038,1.002,0.187,-2.380,-0.153,-0.610,80.000,54762.000,1.000
191641.266,190330.563,208504.594,201427.578,193250.781,184614.781,193343.844,183254.813,0.037,1.001,0.189,-2.380,-0.244,-0.702,80.000,54763.000,1.000
191627.766,190343.531,208518.547,201428.297,193252.203,184646.250,193361.906,183232.906,0.035,1.002,0.188,-2.289,-0.244,-0.763,80.000,54764.000,1.000
191643.953,190377.234,208552.328,201455.750,193274.563,184684.609,193398.031,183247.031,0.035,1.000,0.187,-2.228,-0.214,-0.793,80.000,54765.000,1.000
191673.109,190402.719,208575.141,201478.094,193299.953,184705.078,193424.672,183282.875,0.034,1.002,0.189,-2.258,-0.153,-0.671,80.000,54766.000,1.000
191680.438,190383.672,208551.531,201464.594,193295.125,184676.922,193399.547,183290.219,0.036,1.004,0.190,-2.258,-0.183,-0.763,80.000,54767.000,1.000
191649.672,190344.688,208513.891,201430.719,193268.125,184642.672,193361.016,183260.078,0.034,1.003,0.193,-2.319,-0.214,-0.671,80.000,54768.000,1.000
191633.234,190354.797,208526.859,201434.469,193268.484,184673.516,193380.063,183237.109,0.035,1.003,0.188,-2.319,-0.275,-0.671,80.000,54769.000,1.000
191649.500,190381.969,208559.047,201461.469,193280.641,184685.234,193398.125,183247.750,0.035,1.002,0.187,-2.258,-0.244,-0.671,80.000,54770.000,1.000
191668.719,190393.156,208569.594,201472.016,193292.000,184692.031,193413.594,183273.938,0.034,1.001,0.188,-2.197,-0.244,-0.671,80.000,54771.000,1.000
191672.828,190368.828,208542.688,201455.031,193285.734,184665.203,193397.406,183286.016,0.033,1.004,0.190,-2.106,-0.214,-0.580,80.000,54772.000,1.000
191645.750,190333.609,208509.234,201427.938,193261.422,184628.188,193364.594,183259.375,0.032,1.004,0.191,-2.136,-0.397,-0.641,80.000,54773.000,1.000
191624.203,190330.828,208515.047,201422.391,193250.781,184629.000,193362.094,183232.547,0.033,1.004,0.190,-2.289,-0.397,-0.671,80.000,54774.000,1.000
191639.219,190364.547,208550.094,201451.188,193268.219,184662.250,193384.266,183244.344,0.035,1.004,0.191,-2.258,-0.519,-0.580,80.000,54775.000,1.000
191672.031,190397.172,208575.406,201478.813,193293.250,184692.563,193412.875,183276.625,0.034,1.005,0.190,-2.258,-0.458,-0.458,80.000,54776.000,1.000
191678.109,190378.219,208548.672,201468.438,193283.859,184660.563,193388.016,183286.813,0.033,1.004,0.188,-2.319,-0.488,-0.519,80.000,54777.000,1.000
191647.984,190342.453,208512.453,201436.516,193257.125,184626.844,193353.328,183259.547,0.034,1.005,0.189,-2.319,-0.458,-0.519,80.000,54778.000,1.000
191630.719,190341.297,208519.969,201435.547,193252.203,184642.047,193362.531,183235.594,0.032,1.003,0.189,-2.350,-0.519,-0.427,80.000,54779.000,1.000
191643.594,190369.453,208551.078,201459.688,193268.922,184675.313,193396.953,183246.938,0.032,1.004,0.191,-2.319,-0.427,-0.336,80.000,54780.000,1.000
191667.297,190391.984,208566.734,201472.203,193288.156,184703.734,193420.563,183276.891,0.032,1.003,0.192,-2.380,-0.458,-0.336,80.000,54781.000,1.000
191671.938,190378.125,208542.328,201456.734,193287.344,184689.797,193412.063,183295.313,0.034,1.004,0.190,-2.319,-0.519,-0.275,80.000,54782.000,1.000
191643.234,190346.656,208505.750,201424.625,193259.266,184640.891,193370.406,183263.125,0.035,1.001,0.192,-2.289,-0.671,-0.244,80.000,54783.000,1.000
191627.234,190351.219,208514.969,201427.219,193250.063,184635.875,193353.594,183230.938,0.034,1.003,0.192,-2.228,-0.610,-0.275,80.000,54784.000,1.000
191641.266,190381.344,208551.266,201457.266,193274.109,184677.984,193404.016,183255.172,0.035,1.003,0.191,-2.167,-0.519,-0.244,80.000,54785.000,1.000
191669.438,190403.797,208573.078,201474.969,193296.281,184703.656,193430.578,183289.141,0.035,1.004,0.192,-2.167,-0.549,-0.244,80.000,54786.000,1.000
191675.250,190376.078,208545.453,201457.891,193283.766,184672.172,193398.125,183287.078,0.036,1.003,0.190,-2.289,-0.580,-0.183,80.000,54787.000,1.000
191655.484,190343.266,208514.875,201431.422,193258.016,184630.422,193353.234,183254.453,0.037,1.000,0.191,-2.197,-0.580,-0.153,80.000,54788.000,1.000
191631.891,190343.797,208519.344,201424.188,193249.891,184644.016,193360.563,183229.328,0.035,0.999,0.188,-2.106,-0.519,-0.092,80.000,54789.000,1.000
191647.172,190378.125,208554.656,201449.844,193270.891,184686.484,193401.422,183243.281,0.036,1.000,0.188,-2.136,-0.427,-0.061,80.000,54790.000,1.000
191675.969,190405.766,208576.031,201475.063,193293.516,184703.375,193419.844,183277.078,0.037,1.000,0.190,-2.045,-0.519,-0.153,80.000,54791.000,1.000
191682.578,190378.219,208549.922,201460.938,193288.422,184667.078,193400.172,183292.813,0.038,0.998,0.191,-1.953,-0.397,-0.183,80.000,54792.000,1.000
